"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x971224817717403648",2018-03-07 03:23:35,"x37843279","Arifjan","RT @infowars: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Nj…","Twitter for Android",,,,FALSE,TRUE,0,95,,,,,,,,,,,,,,"x14505245","infowars","en",,,"x971219390082572295","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/NjU5sF5CzJ",,,,,,,,,
"x971224762734272517",2018-03-07 03:23:22,"x37843279","Arifjan","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for Android",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971224611562995713",2018-03-07 03:22:46,"x514507936","RealJobRob","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for iPhone",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971224590067396608",2018-03-07 03:22:41,"x960398836245114880","Luporobert2","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for Android",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971224545800675328",2018-03-07 03:22:30,"x26140710","TexansCheer","RT @JosephLo16: During long biz trip to Houston, coming down with flu, this #valentines2018 ❤️ miracle happened. Inexplicably, @TexansCheer…","Twitter for iPhone",,,,FALSE,TRUE,0,9,"valentines2018",,,,,,,,,,,,,"x725441885540593664 26140710","JosephLo16 TexansCheer","en",,,"x971184195803451394","During long biz trip to Houston, coming down with flu, this #valentines2018 ❤️ miracle happened. Inexplicably, @TexansCheer followed me and made me a fan for life. GO TEXANS! https://t.co/bIesbYYJ9U",,,,,,,,,
"x971224500909105153",2018-03-07 03:22:20,"x936807745","jimmymack45","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for Android",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971224450220855296",2018-03-07 03:22:08,"x109079860","pueblopatriota","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for iPhone",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971224341399719936",2018-03-07 03:21:42,"x901868251679993857","CDaWookie","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for Android",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971224311162814464",2018-03-07 03:21:34,"x627628127","GentlyLevs","RT @infowars: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Nj…","Twitter for Android",,,,FALSE,TRUE,0,95,,,,,,,,,,,,,,"x14505245","infowars","en",,,"x971219390082572295","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/NjU5sF5CzJ",,,,,,,,,
"x971224304062001153",2018-03-07 03:21:33,"x896842628007940097","KingOVic2","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for Android",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
